Temperature,Humidity,WindSpeed,Visibility,Pressure
9.472222222000001,0.89,14.1197,15.8263,1015.13
9.355555556,0.86,14.2646,15.8263,1015.63
9.377777777999999,0.89,3.9284,14.9569,1015.94
8.288888888999999,0.83,14.1036,15.8263,1016.41
8.755555556000001,0.83,11.0446,15.8263,1016.51
9.222222222000001,0.85,13.9587,14.9569,1016.66
7.733333332999999,0.95,12.3648,9.982000000000001,1016.72
8.772222222,0.89,14.1519,9.982000000000001,1016.84
10.82222222,0.82,11.3183,9.982000000000001,1017.37
13.77222222,0.72,12.5258,9.982000000000001,1017.22
16.01666667,0.67,17.5651,11.2056,1017.42
17.14444444,0.54,19.7869,11.4471,1017.74
17.8,0.55,21.9443,11.27,1017.59
17.33333333,0.51,20.6885,11.27,1017.48
18.87777778,0.47,15.3755,11.4471,1017.17
18.91111111,0.46,10.4006,11.27,1016.47
15.38888889,0.6,14.4095,11.27,1016.15
15.55,0.63,11.1573,11.4471,1016.17
14.25555556,0.69,8.5169,11.2056,1015.82
13.14444444,0.7,7.6314,11.2056,1015.83
11.55,0.77,7.3899,11.0285,1015.85
11.18333333,0.76,4.9266,9.982000000000001,1015.77
10.11666667,0.79,6.6493,15.8263,1015.4
10.2,0.77,3.9284,14.9569,1015.51
10.42222222,0.62,16.9855,15.8263,1014.4
9.911111111,0.66,17.2109,15.8263,1014.2
11.18333333,0.8,10.8192,14.9569,1008.71
7.155555556,0.79,11.0768,15.8263,1014.47
6.1111111110000005,0.82,6.6493,15.8263,1014.45
6.788888889,0.83,13.0088,14.9569,1014.49
7.261111111,0.85,11.1734,6.1985,1014.52
7.8,0.83,12.8156,8.05,1014.16
9.872222222000001,0.78,13.7494,9.982000000000001,1014.24
12.22222222,0.72,15.6331,9.982000000000001,1014.25
15.09444444,0.61,17.549,9.982000000000001,1013.96
17.35555556,0.52,22.7815,9.982000000000001,1013.85
19.00555556,0.46,23.8924,9.982000000000001,1013.04
20.04444444,0.4,28.3682,9.982000000000001,1012.22
21.05,0.4,26.9031,10.3523,1011.44
21.18333333,0.37,25.6956,9.982000000000001,1010.52
20.11666667,0.4,25.3092,9.982000000000001,1009.83
20.21666667,0.36,18.1125,10.3523,1009.26
20.0,0.43,23.4255,9.982000000000001,1008.76
17.8,0.5,20.0445,11.2056,1008.36
16.06111111,0.53,21.3969,9.982000000000001,1008.11
15.02222222,0.55,21.3808,9.982000000000001,1008.15
14.42222222,0.58,20.0123,15.8263,1007.85
14.25555556,0.59,16.5025,14.9569,1007.89
13.77222222,0.6,17.0982,15.8263,1007.36
13.28333333,0.63,14.3612,15.8263,1007.26
8.633333333,0.87,22.0409,6.6976,1005.1
11.25,0.83,11.3344,15.8263,1007.01
11.18333333,0.89,11.2056,9.9015,1006.73
10.69444444,0.95,10.4006,6.6976,1006.59
11.11111111,0.93,12.0106,5.9731,1006.34
11.11111111,0.93,9.2092,10.8031,1006.09
12.16666667,0.82,9.9015,10.6743,1005.97
12.75555556,0.79,13.8299,10.8192,1005.63
13.83888889,0.84,9.0965,10.8192,1005.83
16.18333333,0.73,0.644,10.7548,1005.97
17.51666667,0.67,0.6762,10.8997,1005.64
17.38333333,0.67,3.864,10.8514,1005.2
17.36111111,0.71,7.8246,11.0768,1005.1
17.20555556,0.74,15.5848,10.8514,1004.65
15.63333333,0.81,23.6992,10.8836,1004.04
13.57777778,0.9,20.9622,7.6153,1004.08
10.91111111,0.86,22.3951,2.6565,1004.61
8.8,0.99,26.5006,2.6565,1004.99
8.961111111000001,0.93,23.2162,3.8157,1004.85
8.2,0.96,25.4219,4.4919,1004.96
7.688888888999999,0.96,28.1267,4.4436,1005.14
7.766666667000001,0.96,19.2878,5.6833,1005.05
8.2,0.96,20.447,3.1073,1004.8
8.177777778,0.93,27.8691,3.2039,1004.89
7.311111111000001,0.82,6.7459,14.0553,1007.0
7.6444444439999995,0.93,14.9086,6.117999999999999,1004.3
6.622222222,0.93,25.0355,6.117999999999999,1003.68
6.683333332999999,0.93,19.8352,6.1663,1003.86
6.088888889,0.93,28.0945,7.9695,1003.57
6.066666667000001,0.93,27.9818,6.3434,1003.96
6.1444444439999995,0.93,30.8637,10.5455,1004.1
7.1333333329999995,0.8,32.1678,11.2056,1004.26
7.205555556,0.86,26.5328,11.27,1004.18
7.566666667000001,0.84,28.336,10.5455,1004.23
8.9,0.77,29.8333,11.27,1004.47
9.961111111000001,0.71,28.4809,11.27,1004.52
9.888888889,0.71,28.5131,11.0768,1004.29
11.06666667,0.71,25.6956,11.27,1003.93
10.11666667,0.76,25.3414,11.27,1004.0
11.03888889,0.66,21.413,9.982000000000001,1004.3
10.65,0.7,17.8549,14.9086,1004.0
10.05,0.7,15.1984,9.982000000000001,1004.39
9.9,0.66,15.7297,11.0285,1005.48
8.794444444,0.71,12.3648,9.982000000000001,1005.89
7.827777778,0.72,13.8943,15.8263,1006.37
7.8555555560000005,0.72,9.8049,15.0052,1006.56
7.316666667000001,0.75,6.6654,15.8746,1007.07
7.244444444,0.75,7.1162,15.8746,1007.37
5.438888888999999,0.88,3.7191,9.982000000000001,1012.23
7.2,0.76,14.4739,15.8263,1007.28
6.688888888999999,0.7,20.5275,15.8263,1007.18
